山东移动,#genre#


1905电影网,http://cctv.sohu.blog/1905.php?t=1&id=LIVEOYY31H24H48NE



1905电影网,https://cdn.jdshipin.com/1905.php

重温经典频道,https://cdn.jdshipin.com/cwjd.php
重温经典频道,http://m.061899.xyz/mg/cwjd
重温经典频道,http://8.138.7.223/tv/cwjd.php


山东卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226144/index.m3u8
山东体育,http://39.134.144.6:8089/PLTV/88888888/224/3221226075/index.m3u8
山东新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221226077/index.m3u8
山东农科,http://39.134.144.6:8089/PLTV/88888888/224/3221226018/index.m3u8
山东少儿,http://39.134.144.6:8089/PLTV/88888888/224/3221226195/index.m3u8
山东文旅,http://39.134.144.6:8089/PLTV/88888888/224/3221225802/index.m3u8
山东生活,http://39.134.144.6:8089/PLTV/88888888/224/3221225841/index.m3u8
山东综艺,http://39.134.144.6:8089/PLTV/88888888/224/3221225855/index.m3u8
山东齐鲁,http://39.134.144.6:8089/PLTV/88888888/224/3221226045/index.m3u8
山东教育卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226049/index.m3u8

日照新闻频道,http://223.111.150.99:2005/difangtai/shandong.php?id=rzdst


日照新闻频道,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000262/index.m3u8
日照公共频道,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00001100/index.m3u8
日照科教频道,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000263/index.m3u8
日照五莲新闻,http://1.94.31.214/php/qilu.php?id=rzwlzh&4/index.m3u8
日照五莲新闻 ,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00001068/index.m3u8
日照岚山综合,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00001044/index.m3u8



CCTV1,http://39.134.144.6:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV2,http://39.134.144.6:8089/PLTV/88888888/224/3221225751/index.m3u8
CCTV3,http://39.134.144.6:8089/PLTV/88888888/224/3221226338/index.m3u8
CCTV4亚,http://39.134.144.6:8089/PLTV/88888888/224/3221225757/index.m3u8
CCTV4欧,http://39.134.144.6:8089/PLTV/88888888/224/3221226318/index.m3u8
CCTV4美,http://39.134.144.6:8089/PLTV/88888888/224/3221226395/index.m3u8
CCTV5,http://39.134.144.6:8089/PLTV/88888888/224/3221226425/index.m3u8
CCTV5+,http://39.134.144.6:8089/PLTV/88888888/224/3221225781/index.m3u8
CCTV6,http://39.134.144.6:8089/PLTV/88888888/224/3221226427/index.m3u8
CCTV7,http://39.134.144.6:8089/PLTV/88888888/224/3221225753/index.m3u8
CCTV8,http://39.134.144.6:8089/PLTV/88888888/224/3221226429/index.m3u8
CCTV9,http://39.134.144.6:8089/PLTV/88888888/224/3221225759/index.m3u8
CCTV10,http://39.134.144.6:8089/PLTV/88888888/224/3221225761/index.m3u8
CCTV11,http://39.134.144.6:8089/PLTV/88888888/224/3221226407/index.m3u8
